p, k, b/c, n, result
0.02,4.12,2.1, 291, 0
0.02,4.12,2.1, 144, 0
0.02,3.9,2.1, 2031, 0
0.02,3.68,2.1, 1018, 0
0.02,3.74,2.1, 2559, 0
0.02,3.84,2.1, 98, 0
0.02,3.68,2.1, 532, 0
0.02,3.72,2.1, 79, 0
0.02,4.14,2.1, 520, 0
0.02,4.1,2.1, 4377, 0
0.02,3.72,2.1, 169, 0
0.02,3.94,2.1, 152, 0
0.02,3.9,2.1, 3473, 0
0.02,4.04,2.1, 174, 0
0.02,3.96,2.1, 33, 0
0.02,3.9,2.1, 12, 0
0.02,4.2,2.1, 3534, 0
0.02,3.88,2.1, 9, 0
0.02,3.76,2.1, 215, 0
0.02,4.08,2.1, 7, 0
0.02,3.74,2.1, 24, 0
0.02,3.98,2.1, 1816, 0
0.02,3.8,2.1, 3891, 0
0.02,3.9,2.1, 819, 0
0.02,3.68,2.1, 340, 0
0.02,3.92,2.1, 58, 0
0.02,3.86,2.1, 25, 0
0.02,3.68,2.1, 1479, 0
0.02,3.66,2.1, 704, 0
0.02,3.82,2.1, 106, 0
0.02,4.12,2.1, 10, 0
0.02,3.72,2.1, 11, 0
0.02,3.96,2.1, 71, 0
0.02,3.42,2.1, 43, 0
0.02,3.94,2.1, 19, 0
0.02,4.3,2.1, 70, 0
0.02,4.2,2.1, 4, 0
0.02,3.84,2.1, 57, 0
0.02,4.32,2.1, 52, 0
0.02,4.08,2.1, 36, 0
0.02,4.14,2.1, 1070, 0
0.02,3.92,2.1, 60, 0
0.02,4.02,2.1, 82, 0
0.02,3.54,2.1, 65, 0
0.02,3.7,2.1, 15, 0
0.02,4.16,2.1, 71, 0
0.02,3.78,2.1, 18, 0
0.02,3.86,2.1, 564, 0
0.02,4.02,2.1, 86, 0
0.02,4.0,2.1, 121, 0
0.02,3.66,2.1, 1722, 0
0.02,3.8,2.1, 2648, 0
0.02,3.94,2.1, 6, 0
0.02,4.04,2.1, 228, 0
0.02,3.9,2.1, 1471, 0
0.02,4.24,2.1, 552, 0
0.02,3.92,2.1, 37, 0
0.02,4.08,2.1, 2896, 0
0.02,4.0,2.1, 3739, 0
0.02,3.96,2.1, 41, 0
0.02,3.82,2.1, 336, 0
0.02,3.98,2.1, 283, 0
0.02,3.98,2.1, 48, 0
0.02,3.9,2.1, 344, 0
0.02,3.96,2.1, 626, 0
0.02,3.9,2.1, 21, 0
0.02,3.68,2.1, 656, 0
0.02,3.78,2.1, 19, 0
0.02,3.92,2.1, 62, 0
0.02,3.74,2.1, 3, 0
0.02,4.06,2.1, 22, 0
0.02,3.64,2.1, 450, 0
0.02,3.96,2.1, 58, 0
0.02,4.16,2.1, 56, 0
0.02,4.04,2.1, 86, 0
0.02,3.88,2.1, 20, 0
0.02,3.88,2.1, 28, 0
0.02,4.52,2.1, 6, 0
0.02,3.72,2.1, 123, 0
0.02,3.62,2.1, 52, 0
0.02,4.12,2.1, 320, 0
0.02,3.94,2.1, 32, 0
0.02,4.04,2.1, 1086, 0
0.02,4.14,2.1, 1422, 0
0.02,3.76,2.1, 19, 0
0.02,4.1,2.1, 49, 0
0.02,4.3,2.1, 137, 0
0.02,3.78,2.1, 95, 0
0.02,4.06,2.1, 146, 0
0.02,4.1,2.1, 177, 0
0.02,3.58,2.1, 27, 0
0.02,4.54,2.1, 48, 0
0.02,3.8,2.1, 252, 0
0.02,4.12,2.1, 33, 0
0.02,4.06,2.1, 185, 0
0.02,3.64,2.1, 389, 0
0.02,3.88,2.1, 52, 0
0.02,4.04,2.1, 90, 0
0.02,3.96,2.1, 170, 0
0.02,3.58,2.1, 241, 0
0.02,3.8,2.1, 2, 0
0.02,3.38,2.1, 254, 0
0.02,3.98,2.1, 207, 0
0.02,3.74,2.1, 436, 0
0.02,3.84,2.1, 287, 0
0.02,3.98,2.1, 566, 0
0.02,4.02,2.1, 28, 0
0.02,3.72,2.1, 76, 0
