p, k, b/c, n, result
0.02,3.76,2.1, 10, 0
0.02,3.76,2.1, 21, 0
0.02,4.1,2.1, 10, 0
0.02,4.04,2.1, 11, 0
0.02,4.42,2.1, 359, 0
0.02,4.18,2.1, 3158, 0
0.02,4.02,2.1, 9413, 0
0.02,3.74,2.1, 2733, 0
0.02,3.96,2.1, 2449, 0
0.02,3.7,2.1, 134, 0
0.02,4.04,2.1, 52, 0
0.02,3.84,2.1, 910, 0
0.02,4.04,2.1, 1048, 0
0.02,4.3,2.1, 52, 0
0.02,4.04,2.1, 156, 0
0.02,3.92,2.1, 237, 0
0.02,3.78,2.1, 2139, 0
0.02,3.54,2.1, 7, 0
0.02,3.52,2.1, 23, 0
0.02,3.9,2.1, 88, 0
0.02,3.98,2.1, 96, 0
0.02,4.06,2.1, 1063, 0
0.02,4.14,2.1, 28, 0
0.02,3.96,2.1, 356, 0
0.02,4.18,2.1, 167, 0
0.02,3.88,2.1, 1, 0
0.02,3.82,2.1, 681, 0
0.02,3.86,2.1, 859, 0
0.02,3.84,2.1, 10, 0
0.02,4.12,2.1, 522, 0
0.02,4.14,2.1, 85, 0
0.02,4.06,2.1, 109, 0
0.02,4.0,2.1, 97, 0
0.02,3.76,2.1, 39, 0
0.02,3.96,2.1, 102, 0
0.02,3.8,2.1, 154, 0
0.02,3.62,2.1, 31, 0
0.02,4.08,2.1, 1671, 0
0.02,4.18,2.1, 3874, 0
0.02,3.96,2.1, 243, 0
0.02,3.86,2.1, 249, 0
0.02,4.04,2.1, 6276, 0
0.02,3.92,2.1, 1092, 0
0.02,4.14,2.1, 62, 0
0.02,3.98,2.1, 475, 0
0.02,4.02,2.1, 387, 0
0.02,4.12,2.1, 1101, 0
0.02,4.02,2.1, 147, 0
0.02,3.76,2.1, 49, 0
0.02,3.96,2.1, 17, 0
0.02,3.78,2.1, 1184, 0
0.02,4.0,2.1, 54, 0
0.02,4.1,2.1, 974, 0
0.02,4.02,2.1, 3396, 0
0.02,4.28,2.1, 1626, 0
0.02,4.28,2.1, 29, 0
0.02,3.86,2.1, 37, 0
0.02,4.02,2.1, 21, 0
0.02,3.96,2.1, 121, 0
0.02,3.9,2.1, 777, 0
0.02,3.74,2.1, 6, 0
0.02,3.96,2.1, 374, 0
0.02,3.74,2.1, 1952, 0
0.02,3.94,2.1, 8, 0
0.02,3.86,2.1, 8, 0
0.02,4.08,2.1, 37, 0
0.02,4.06,2.1, 3597, 0
0.02,3.6,2.1, 121, 0
0.02,4.04,2.1, 140, 0
0.02,3.9,2.1, 42, 0
0.02,3.96,2.1, 255, 0
0.02,3.62,2.1, 330, 0
0.02,4.12,2.1, 29, 0
0.02,4.08,2.1, 941, 0
0.02,3.76,2.1, 120, 0
0.02,3.96,2.1, 3042, 0
0.02,3.86,2.1, 94, 0
0.02,3.92,2.1, 6, 0
0.02,4.0,2.1, 317, 0
0.02,4.02,2.1, 482, 0
0.02,3.94,2.1, 109, 0
0.02,3.94,2.1, 2415, 0
0.02,3.42,2.1, 3885, 0
0.02,4.16,2.1, 10, 0
0.02,4.24,2.1, 68, 0
0.02,4.32,2.1, 116, 0
0.02,4.32,2.1, 587, 0
0.02,4.16,2.1, 8, 0
0.02,4.32,2.1, 105, 0
0.02,4.08,2.1, 51, 0
0.02,4.02,2.1, 1062, 0
0.02,3.74,2.1, 358, 0
0.02,3.7,2.1, 30, 0
0.02,3.7,2.1, 18, 0
0.02,3.84,2.1, 865, 0
0.02,4.02,2.1, 354, 0
0.02,4.08,2.1, 60, 0
0.02,3.76,2.1, 69, 0
0.02,3.58,2.1, 311, 0
0.02,4.14,2.1, 62, 0
0.02,3.5,2.1, 3608, 0
0.02,4.08,2.1, 30, 0
0.02,3.74,2.1, 43, 0
0.02,3.86,2.1, 6, 0
0.02,3.86,2.1, 3502, 0
0.02,3.94,2.1, 1035, 0
0.02,4.0,2.1, 709, 0
0.02,3.8,2.1, 61, 0
0.02,3.84,2.1, 9, 0
0.02,4.26,2.1, 263, 0
0.02,3.92,2.1, 708, 0
0.02,3.74,2.1, 795, 0
0.02,4.14,2.1, 36, 0
0.02,4.36,2.1, 32, 0
0.02,3.92,2.1, 2933, 0
0.02,4.16,2.1, 70, 0
0.02,3.82,2.1, 870, 0
0.02,4.36,2.1, 161, 0
0.02,3.96,2.1, 17, 0
0.02,3.92,2.1, 666, 0
0.02,4.1,2.1, 1, 0
0.02,4.02,2.1, 2, 0
0.02,3.82,2.1, 161, 0
0.02,4.02,2.1, 10, 0
0.02,4.28,2.1, 11, 0
0.02,4.18,2.1, 227, 0
0.02,3.78,2.1, 544, 0
0.02,4.0,2.1, 26, 0
0.02,4.1,2.1, 297, 0
0.02,4.22,2.1, 92, 0
0.02,4.1,2.1, 169, 0
0.02,4.02,2.1, 81, 0
0.02,4.02,2.1, 2180, 0
0.02,3.8,2.1, 3, 0
0.02,3.88,2.1, 344, 0
0.02,3.98,2.1, 19, 0
0.02,3.84,2.1, 3964, 0
0.02,3.92,2.1, 489, 0
0.02,3.98,2.1, 709, 0
0.02,3.84,2.1, 214, 0
0.02,3.96,2.1, 35, 0
0.02,3.94,2.1, 2, 0
0.02,3.94,2.1, 81, 0
0.02,3.74,2.1, 135, 0
0.02,4.06,2.1, 27, 0
0.02,3.56,2.1, 18, 0
0.02,4.24,2.1, 20, 0
0.02,4.06,2.1, 398, 0
0.02,4.08,2.1, 0, 0
0.02,3.68,2.1, 27, 0
0.02,3.8,2.1, 485, 0
0.02,3.86,2.1, 53, 0
0.02,3.92,2.1, 18, 0
0.02,4.4,2.1, 1007, 0
0.02,3.8,2.1, 421, 0
0.02,3.86,2.1, 7349, 0
0.02,4.1,2.1, 255, 0
0.02,3.8,2.1, 306, 0
0.02,3.82,2.1, 19, 0
0.02,4.0,2.1, 1066, 0
0.02,3.74,2.1, 6, 0
0.02,3.8,2.1, 116, 0
0.02,3.74,2.1, 460, 0
0.02,3.82,2.1, 28, 0
0.02,4.28,2.1, 20, 0
0.02,4.18,2.1, 50, 0
0.02,4.42,2.1, 700, 0
0.02,3.74,2.1, 30, 0
0.02,3.86,2.1, 5898, 0
0.02,3.84,2.1, 30, 0
0.02,3.64,2.1, 4, 0
0.02,3.76,2.1, 126, 0
0.02,4.2,2.1, 188, 0
0.02,3.7,2.1, 121, 0
0.02,3.68,2.1, 46, 0
0.02,4.24,2.1, 16, 0
0.02,4.28,2.1, 90, 0
0.02,4.0,2.1, 1, 0
0.02,4.1,2.1, 169, 0
0.02,3.5,2.1, 518, 0
0.02,4.26,2.1, 239, 0
0.02,3.98,2.1, 16, 0
0.02,3.78,2.1, 2381, 0
0.02,3.88,2.1, 179, 0
0.02,3.92,2.1, 105, 0
0.02,3.94,2.1, 140, 0
0.02,3.8,2.1, 164, 0
