p, k, b/c, n, result
0.01,3.2,2.5, 59, 0
0.01,2.74,2.5, 132, 0
0.01,3.32,2.5, 20, 0
0.01,2.94,2.5, 172, 0
0.01,2.96,2.5, 57, 0
0.01,2.98,2.5, 127, 0
0.01,3.18,2.5, 866, 0
0.01,2.84,2.5, 368, 0
0.01,2.92,2.5, 51, 0
0.01,2.86,2.5, 124, 0
0.01,2.84,2.5, 14, 0
0.01,3.02,2.5, 17, 0
0.01,3.08,2.5, 383, 0
0.01,3.12,2.5, 569, 0
0.01,2.88,2.5, 186, 0
0.01,3.02,2.5, 206, 0
0.01,3.14,2.5, 59, 0
0.01,2.96,2.5, 49, 0
0.01,3.02,2.5, 346, 0
0.01,3.08,2.5, 468, 0
0.01,3.08,2.5, 506, 0
0.01,2.8,2.5, 23, 0
0.01,2.96,2.5, 56, 0
0.01,2.94,2.5, 106, 0
0.01,2.7,2.5, 28, 0
0.01,2.9,2.5, 44, 0
0.01,2.92,2.5, 604, 0
0.01,3.02,2.5, 447, 0
0.01,2.94,2.5, 1471, 0
0.01,3.2,2.5, 647, 0
0.01,3.14,2.5, 1409, 0
0.01,3.12,2.5, 29, 0
0.01,2.94,2.5, 7, 0
0.01,2.9,2.5, 71, 0
0.01,2.92,2.5, 168, 0
0.01,2.9,2.5, 5, 0
0.01,3.06,2.5, 52, 0
0.01,2.98,2.5, 1170, 0
0.01,2.98,2.5, 13, 0
0.01,3.1,2.5, 117, 0
0.01,2.72,2.5, 84, 0
0.01,3.1,2.5, 295, 0
0.01,2.94,2.5, 59, 0
0.01,3.06,2.5, 114, 0
0.01,3.02,2.5, 621, 0
0.01,3.0,2.5, 11399, 0
0.01,2.92,2.5, 11, 0
0.01,3.06,2.5, 32, 0
0.01,2.88,2.5, 487, 0
0.01,2.96,2.5, 34, 0
0.01,2.76,2.5, 221, 0
0.01,2.74,2.5, 2486, 0
0.01,3.06,2.5, 4, 0
0.01,2.84,2.5, 61, 0
0.01,2.82,2.5, 21, 0
0.01,3.14,2.5, 38, 0
0.01,3.12,2.5, 522, 0
0.01,2.68,2.5, 79, 0
0.01,3.36,2.5, 5, 0
0.01,3.24,2.5, 93, 0
0.01,2.7,2.5, 170, 0
0.01,3.12,2.5, 5334, 0
0.01,2.96,2.5, 43, 0
0.01,3.22,2.5, 143, 0
0.01,2.84,2.5, 61, 0
0.01,2.88,2.5, 38, 0
0.01,3.04,2.5, 1044, 0
0.01,2.96,2.5, 20, 0
0.01,2.88,2.5, 53, 0
0.01,3.08,2.5, 96, 0
0.01,2.92,2.5, 386, 0
0.01,2.9,2.5, 220, 0
0.01,2.98,2.5, 12, 0
0.01,2.82,2.5, 17, 0
0.01,2.94,2.5, 112, 0
0.01,2.88,2.5, 25, 0
0.01,2.92,2.5, 73, 0
0.01,2.96,2.5, 1520, 0
0.01,2.92,2.5, 31, 0
0.01,2.82,2.5, 36, 0
0.01,3.02,2.5, 590, 0
0.01,2.86,2.5, 188, 0
0.01,3.12,2.5, 13, 0
0.01,3.02,2.5, 113, 0
0.01,2.86,2.5, 753, 0
0.01,2.92,2.5, 9670, 0
0.01,3.04,2.5, 102, 0
0.01,2.78,2.5, 23, 0
0.01,3.14,2.5, 1586, 0
0.01,3.16,2.5, 285, 0
0.01,2.82,2.5, 39, 0
0.01,2.88,2.5, 349, 0
0.01,2.66,2.5, 33, 0
0.01,2.92,2.5, 17, 0
0.01,3.04,2.5, 21, 0
0.01,2.8,2.5, 158, 0
0.01,2.78,2.5, 375, 0
0.01,3.14,2.5, 48, 0
0.01,3.08,2.5, 242, 0
0.01,2.98,2.5, 2261, 0
0.01,2.86,2.5, 143, 0
0.01,2.9,2.5, 71, 0
0.01,3.0,2.5, 180, 0
0.01,3.22,2.5, 17, 0
0.01,3.22,2.5, 44, 0
0.01,2.86,2.5, 589, 0
0.01,3.1,2.5, 829, 0
0.01,2.88,2.5, 27, 0
0.01,2.98,2.5, 944, 0
0.01,2.68,2.5, 465, 0
0.01,2.96,2.5, 461, 0
0.01,3.08,2.5, 220, 0
0.01,3.1,2.5, 235, 0
0.01,2.92,2.5, 11, 0
0.01,3.04,2.5, 96, 0
0.01,2.8,2.5, 13, 0
0.01,2.96,2.5, 24, 0
0.01,2.88,2.5, 444, 0
0.01,2.86,2.5, 48, 0
0.01,2.82,2.5, 307, 0
0.01,3.1,2.5, 101, 0
0.01,2.9,2.5, 91, 0
0.01,2.76,2.5, 15, 0
