p, k, b/c, n, result
0.02,3.94,3.9, 9, 0
0.02,3.96,3.9, 93, 0
0.02,3.66,3.9, 704, 0
0.02,4.06,3.9, 27, 0
0.02,3.86,3.9, 31, 0
0.02,3.46,3.9, 12936, 100
0.02,3.5,3.9, 1604, 0
0.02,4.08,3.9, 402, 0
0.02,4.0,3.9, 130, 0
0.02,4.02,3.9, 175, 0
0.02,3.84,3.9, 27, 0
0.02,4.04,3.9, 91, 0
0.02,4.12,3.9, 25, 0
0.02,4.22,3.9, 52, 0
0.02,3.96,3.9, 3, 0
0.02,4.12,3.9, 403, 0
0.02,3.96,3.9, 113, 0
0.02,3.68,3.9, 201, 0
0.02,4.0,3.9, 5, 0
0.02,3.68,3.9, 79, 0
0.02,4.24,3.9, 20, 0
0.02,4.12,3.9, 21, 0
0.02,4.06,3.9, 207, 0
0.02,4.14,3.9, 129, 0
0.02,3.74,3.9, 82, 0
0.02,4.24,3.9, 44, 0
0.02,3.7,3.9, 172, 0
0.02,3.92,3.9, 32, 0
0.02,3.92,3.9, 69, 0
0.02,3.86,3.9, 157, 0
0.02,3.96,3.9, 3, 0
0.02,3.72,3.9, 77, 0
0.02,3.9,3.9, 3529, 100
0.02,4.04,3.9, 878, 0
0.02,3.78,3.9, 31, 0
0.02,3.76,3.9, 45, 0
0.02,3.98,3.9, 586, 0
0.02,4.26,3.9, 86, 0
0.02,3.98,3.9, 294, 0
0.02,3.78,3.9, 75, 0
0.02,3.88,3.9, 303, 0
0.02,3.78,3.9, 1388, 0
0.02,3.88,3.9, 736, 0
0.02,4.0,3.9, 47, 0
0.02,3.7,3.9, 9160, 100
0.02,3.96,3.9, 1233, 0
0.02,3.78,3.9, 41, 0
0.02,3.96,3.9, 92, 0
0.02,3.96,3.9, 22, 0
0.02,3.92,3.9, 301, 0
0.02,3.54,3.9, 35, 0
0.02,3.7,3.9, 33, 0
0.02,4.3,3.9, 6, 0
0.02,3.84,3.9, 78, 0
0.02,3.98,3.9, 489, 0
0.02,4.22,3.9, 9235, 100
0.02,3.88,3.9, 8, 0
0.02,3.66,3.9, 94, 0
0.02,3.8,3.9, 713, 0
0.02,3.9,3.9, 187, 0
0.02,3.8,3.9, 250, 0
0.02,3.8,3.9, 3, 0
0.02,3.76,3.9, 76, 0
0.02,3.98,3.9, 120, 0
0.02,3.88,3.9, 9, 0
0.02,3.96,3.9, 119, 0
0.02,3.92,3.9, 39, 0
0.02,3.86,3.9, 4124, 100
0.02,3.9,3.9, 7182, 100
0.02,3.92,3.9, 17, 0
0.02,4.12,3.9, 38, 0
0.02,3.84,3.9, 60, 0
0.02,3.82,3.9, 145, 0
0.02,3.92,3.9, 46, 0
0.02,4.2,3.9, 670, 0
0.02,3.94,3.9, 19, 0
0.02,4.2,3.9, 334, 0
0.02,4.14,3.9, 6, 0
0.02,4.04,3.9, 6, 0
