p, k, b/c, n, result
0.02,3.94,4.5, 112, 0
0.02,3.88,4.5, 31, 0
0.02,4.1,4.5, 259, 0
0.02,3.9,4.5, 183, 0
0.02,3.88,4.5, 88, 0
0.02,3.92,4.5, 447, 0
0.02,3.9,4.5, 18, 0
0.02,4.18,4.5, 1494, 0
0.02,3.4,4.5, 455, 0
0.02,3.92,4.5, 530, 0
0.02,3.88,4.5, 347, 0
0.02,4.26,4.5, 188, 0
0.02,4.12,4.5, 15, 0
0.02,3.76,4.5, 7208, 100
0.02,3.92,4.5, 441, 0
0.02,4.02,4.5, 17, 0
0.02,3.7,4.5, 260, 0
0.02,4.12,4.5, 126, 0
0.02,4.0,4.5, 510, 0
0.02,3.94,4.5, 105, 0
0.02,3.9,4.5, 143, 0
0.02,3.86,4.5, 1, 0
0.02,3.96,4.5, 20, 0
0.02,3.88,4.5, 26, 0
0.02,3.76,4.5, 65, 0
0.02,3.94,4.5, 21, 0
0.02,3.94,4.5, 15, 0
0.02,4.34,4.5, 214, 0
0.02,3.62,4.5, 432, 0
0.02,3.84,4.5, 12, 0
0.02,3.6,4.5, 9279, 0
0.02,3.96,4.5, 74, 0
0.02,3.5,4.5, 707, 0
0.02,3.74,4.5, 52, 0
0.02,3.84,4.5, 309, 0
0.02,3.92,4.5, 16805, 0
0.02,3.72,4.5, 437, 0
0.02,4.16,4.5, 595, 0
0.02,4.08,4.5, 16, 0
0.02,4.0,4.5, 1717, 0
0.02,4.06,4.5, 67, 0
0.02,3.9,4.5, 74, 0
0.02,3.94,4.5, 18, 0
0.02,4.02,4.5, 199, 0
0.02,3.86,4.5, 2, 0
0.02,4.04,4.5, 255, 0
0.02,4.2,4.5, 6276, 100
0.02,4.06,4.5, 49, 0
0.02,3.8,4.5, 42, 0
0.02,3.76,4.5, 205, 0
0.02,3.66,4.5, 6, 0
0.02,3.62,4.5, 266, 0
0.02,4.0,4.5, 207, 0
0.02,4.06,4.5, 131, 0
0.02,4.2,4.5, 24, 0
0.02,3.66,4.5, 184, 0
0.02,3.76,4.5, 18212, 100
0.02,4.02,4.5, 569, 0
0.02,3.34,4.5, 169, 0
0.02,3.94,4.5, 5, 0
0.02,4.16,4.5, 9, 0
0.02,3.84,4.5, 59, 0
