p, k, b/c, result
2e-05,2.004,1.6,extinct
2e-05,2.008,1.6,extinct
2e-05,2.016,1.6,inconclusive
2e-05,1.996,1.6,extinct
2e-05,2.008,1.6,extinct
2e-05,2.016,1.6,extinct
2e-05,2.004,1.6,extinct
2e-05,2.004,1.6,extinct
2e-05,2.008,1.6,extinct
2e-05,2.0,1.6,extinct
2e-05,2.008,1.6,extinct
2e-05,2.012,1.6,inconclusive
2e-05,2.008,1.6,extinct
2e-05,2.004,1.6,extinct
2e-05,2.0,1.6,extinct
2e-05,2.004,1.6,extinct
2e-05,2.004,1.6,extinct
2e-05,2.008,1.6,inconclusive
2e-05,2.008,1.6,inconclusive
2e-05,2.008,1.6,extinct
2e-05,2.004,1.6,inconclusive
2e-05,2.008,1.6,extinct
2e-05,2.0,1.6,inconclusive
2e-05,2.012,1.6,extinct
2e-05,2.008,1.6,extinct
2e-05,2.0,1.6,extinct
2e-05,2.004,1.6,inconclusive
2e-05,2.008,1.6,inconclusive
2e-05,1.996,1.6,inconclusive
2e-05,2.008,1.6,extinct
2e-05,2.012,1.6,extinct
2e-05,2.004,1.6,extinct
2e-05,2.012,1.6,extinct
2e-05,2.008,1.6,inconclusive
2e-05,1.996,1.6,inconclusive
2e-05,2.012,1.6,extinct
2e-05,2.004,1.6,extinct
2e-05,2.008,1.6,extinct
2e-05,2.028,1.6,extinct
2e-05,2.008,1.6,extinct
2e-05,2.004,1.6,inconclusive
2e-05,2.016,1.6,inconclusive
2e-05,2.008,1.6,inconclusive
2e-05,2.012,1.6,extinct
2e-05,2.012,1.6,inconclusive
2e-05,2.012,1.6,inconclusive
2e-05,2.012,1.6,extinct
2e-05,2.004,1.6,extinct
2e-05,2.02,1.6,extinct
2e-05,2.008,1.6,inconclusive
2e-05,2.008,1.6,inconclusive
2e-05,1.996,1.6,extinct
2e-05,2.012,1.6,extinct
2e-05,2.008,1.6,inconclusive
2e-05,2.02,1.6,extinct
2e-05,2.004,1.6,extinct
2e-05,2.008,1.6,extinct
2e-05,2.012,1.6,extinct
2e-05,2.012,1.6,inconclusive
2e-05,2.008,1.6,extinct
2e-05,2.004,1.6,inconclusive
2e-05,1.996,1.6,extinct
2e-05,2.008,1.6,extinct
2e-05,1.996,1.6,extinct
2e-05,1.996,1.6,extinct
2e-05,2.028,1.6,inconclusive
2e-05,2.0,1.6,extinct
2e-05,2.012,1.6,extinct
2e-05,2.0,1.6,extinct
2e-05,2.004,1.6,inconclusive
2e-05,2.004,1.6,inconclusive
2e-05,2.004,1.6,extinct
2e-05,2.016,1.6,extinct
2e-05,2.016,1.6,extinct
2e-05,2.008,1.6,extinct
2e-05,2.012,1.6,inconclusive
2e-05,2.0,1.6,inconclusive
2e-05,2.004,1.6,extinct
2e-05,2.016,1.6,extinct
2e-05,2.012,1.6,extinct
2e-05,2.012,1.6,inconclusive
2e-05,1.996,1.6,inconclusive
2e-05,2.0,1.6,inconclusive
2e-05,2.0,1.6,inconclusive
2e-05,2.008,1.6,extinct
2e-05,2.0,1.6,extinct
2e-05,1.996,1.6,inconclusive
2e-05,2.016,1.6,extinct
